aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Eucalyptus thozetiana,APC,https://id.biodiversity.org.au/taxon/apni/51439929,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51439929,Eucalyptus thozetiana,(F.Muell. ex Maiden) R.T.Baker,Species,accepted,Myrtaceae,Magnoliidae,"NT, Qld, NSW",https://id.biodiversity.org.au/taxon/apni/51439929
Eucalyptus torquata,APC,https://id.biodiversity.org.au/node/apni/2889289,accepted,NA,https://id.biodiversity.org.au/node/apni/2889289,Eucalyptus torquata,Luehm.,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/node/apni/2889289
Eucalyptus trachyphloia,APC,https://id.biodiversity.org.au/instance/apni/852759,nomenclatural synonym,NA,https://id.biodiversity.org.au/node/apni/2897003,Corymbia trachyphloia,(F.Muell.) K.D.Hill & L.A.S.Johnson,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/node/apni/2897003
Eucalyptus transcontinentalis,APC,https://id.biodiversity.org.au/node/apni/2916511,accepted,pro parte misapplied,https://id.biodiversity.org.au/node/apni/2916511,Eucalyptus transcontinentalis,Maiden,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/node/apni/2916511
Eucalyptus umbra,APC,https://id.biodiversity.org.au/node/apni/2913298,accepted,NA,https://id.biodiversity.org.au/node/apni/2913298,Eucalyptus umbra,R.T.Baker,Species,accepted,Myrtaceae,Magnoliidae,NSW,https://id.biodiversity.org.au/node/apni/2913298
Eucalyptus viminalis,APC,https://id.biodiversity.org.au/taxon/apni/51290421,accepted,taxonomic synonym | pro parte misapplied,https://id.biodiversity.org.au/taxon/apni/51290421,Eucalyptus viminalis,Labill.,Species,accepted,Myrtaceae,Magnoliidae,"SA, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/taxon/apni/51290421
Eucalyptus viminalis subsp. viminalis,APC,https://id.biodiversity.org.au/node/apni/2899781,accepted,NA,https://id.biodiversity.org.au/node/apni/2899781,Eucalyptus viminalis subsp. viminalis,NA,Subspecies,accepted,Myrtaceae,Magnoliidae,"SA, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/node/apni/2899781
Eucalyptus wandoo,APC,https://id.biodiversity.org.au/node/apni/2914079,accepted,NA,https://id.biodiversity.org.au/node/apni/2914079,Eucalyptus wandoo,Blakely,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/node/apni/2914079
Eucalyptus willisii,APC,https://id.biodiversity.org.au/node/apni/6752089,accepted,NA,https://id.biodiversity.org.au/node/apni/6752089,Eucalyptus willisii,"Ladiges, Humphries & Brooker",Species,accepted,Myrtaceae,Magnoliidae,"SA, Vic",https://id.biodiversity.org.au/node/apni/6752089
Eucalyptus woollsiana,APC,https://id.biodiversity.org.au/node/apni/2905427,accepted,taxonomic synonym,https://id.biodiversity.org.au/node/apni/2905427,Eucalyptus woollsiana,R.T.Baker,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/node/apni/2905427
