checked,original_name,aligned_name,source,canonicalName,canonicalName_subbed,canonicalName_to_species,family,known,scientificNameAuthorship,subclass,taxonDistribution,taxonomicStatus,taxonRank
TRUE,Eucalyptus mannifera maculosa,Eucalyptus mannifera subsp. maculosa,APC list (known names),Eucalyptus mannifera subsp. mannifera,Eucalyptus mannifera,Eucalyptus mannifera,Myrtaceae,TRUE,Mudie,Magnoliidae,"NSW, ACT, Vic",accepted,Subspecies
TRUE,Eucalyptus marginata,Eucalyptus marginata,APC list (accepted),Eucalyptus marginata,Eucalyptus marginata,Eucalyptus marginata,Myrtaceae,TRUE,Donn ex Sm.,Magnoliidae,WA,accepted,Species
TRUE,Eucalyptus melanophloia,Eucalyptus melanophloia,APC list (accepted),Eucalyptus melanophloia,Eucalyptus melanophloia,Eucalyptus melanophloia,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"NT, Qld, NSW",accepted,Species
TRUE,Eucalyptus melliodora,Eucalyptus melliodora,APC list (accepted),Eucalyptus melliodora,Eucalyptus melliodora,Eucalyptus melliodora,Myrtaceae,TRUE,A.Cunn. ex Schauer,Magnoliidae,"Qld, NSW, ACT, Vic",accepted,Species
TRUE,Eucalyptus microcarpa,Eucalyptus microcarpa,APC list (accepted),Eucalyptus microcarpa,Eucalyptus microcarpa,Eucalyptus microcarpa,Myrtaceae,TRUE,(Maiden) Maiden,Magnoliidae,"SA, Qld, NSW, Vic",accepted,Species
TRUE,Eucalyptus microcorys,Eucalyptus microcorys,APC list (accepted),Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"WA (naturalised), Qld, NSW",accepted,Species
TRUE,Eucalyptus microneura,Eucalyptus microneura,APC list (accepted),Eucalyptus microneura,Eucalyptus microneura,Eucalyptus microneura,Myrtaceae,TRUE,Maiden & Blakely,Magnoliidae,Qld,accepted,Species
TRUE,Eucalyptus microtheca,Eucalyptus microtheca,APC list (accepted),Eucalyptus microtheca,Eucalyptus microtheca,Eucalyptus microtheca,Myrtaceae,TRUE,F.Muell.,Magnoliidae,"WA, NT, Qld",accepted,Species
TRUE,Eucalyptus miniata,Eucalyptus miniata,APC list (accepted),Eucalyptus miniata,Eucalyptus miniata,Eucalyptus miniata,Myrtaceae,TRUE,A.Cunn. ex Schauer,Magnoliidae,"WA, NT, Qld",accepted,Species
TRUE,Eucalyptus moluccana,Eucalyptus moluccana,APC list (accepted),Eucalyptus moluccana,Eucalyptus moluccana,Eucalyptus moluccana,Myrtaceae,TRUE,Roxb.,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Eucalyptus muelleriana,Eucalyptus muelleriana,APC list (accepted),Eucalyptus muelleriana,Eucalyptus muelleriana,Eucalyptus muelleriana,Myrtaceae,TRUE,A.W.Howitt,Magnoliidae,"NSW, Vic",accepted,Species
TRUE,Eucalyptus nitens,Eucalyptus nitens,APC list (accepted),Eucalyptus nitens,Eucalyptus nitens,Eucalyptus nitens,Myrtaceae,TRUE,(H.Deane & Maiden) Maiden,Magnoliidae,"NSW, Vic",accepted,Species
TRUE,Eucalyptus nitida,Eucalyptus nitida,APC list (accepted),Eucalyptus nitida,Eucalyptus nitida,Eucalyptus nitida,Myrtaceae,TRUE,Hook.f.,Magnoliidae,Tas,accepted,Species
