aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Loranthaceae,APC,https://id.biodiversity.org.au/taxon/apni/51300290,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51300290,Loranthaceae,Juss.,Familia,accepted,Loranthaceae,Magnoliidae,"WA, NT, SA, Qld, NSW, NI, ACT, Vic",https://id.biodiversity.org.au/tree/51354547/51236188
Mallotus philippensis,APC,https://id.biodiversity.org.au/node/apni/2897394,accepted,NA,https://id.biodiversity.org.au/node/apni/2897394,Mallotus philippensis,(Lam.) Müll.Arg.,Species,accepted,Euphorbiaceae,Magnoliidae,"NT, Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51250459
Malvaceae,APC,https://id.biodiversity.org.au/taxon/apni/51335953,accepted,taxonomic synonym,https://id.biodiversity.org.au/taxon/apni/51335953,Malvaceae,Juss.,Familia,accepted,Malvaceae,Magnoliidae,"WA (native and naturalised), CoI, ChI (native and naturalised), AR, NT (native and naturalised), SA (native and naturalised), Qld (native and naturalised), CSI, NSW (native and naturalised), LHI (native and naturalised), NI (native and naturalised), ACT (native and naturalised), Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51344139
Melaleuca,APC,https://id.biodiversity.org.au/taxon/apni/51290434,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51290434,Melaleuca,L.,Genus,accepted,Myrtaceae,Magnoliidae,"WA (native and naturalised), NT, SA (native and naturalised), Qld, NSW (native and naturalised), LHI, ACT (naturalised), Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51233428
Melaleuca acacioides,APC,https://id.biodiversity.org.au/node/apni/2900538,accepted,misapplied,https://id.biodiversity.org.au/node/apni/2900538,Melaleuca acacioides,F.Muell.,Species,accepted,Myrtaceae,Magnoliidae,"NT, Qld",https://id.biodiversity.org.au/tree/51354547/51233604
Melaleuca alternifolia,APC,https://id.biodiversity.org.au/node/apni/2896520,accepted,NA,https://id.biodiversity.org.au/node/apni/2896520,Melaleuca alternifolia,(Maiden & Betche) Cheel,Species,accepted,Myrtaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51233442
Melaleuca cajuputi,APC,https://id.biodiversity.org.au/node/apni/2890733,accepted,NA,https://id.biodiversity.org.au/node/apni/2890733,Melaleuca cajuputi,R.Powell,Species,accepted,Myrtaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51344300
Melaleuca dealbata,APC,https://id.biodiversity.org.au/node/apni/2904314,accepted,NA,https://id.biodiversity.org.au/node/apni/2904314,Melaleuca dealbata,S.T.Blake,Species,accepted,Myrtaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51251663
Melaleuca ericifolia,APC,https://id.biodiversity.org.au/node/apni/2891096,accepted,misapplied | pro parte misapplied,https://id.biodiversity.org.au/node/apni/2891096,Melaleuca ericifolia,Sm.,Species,accepted,Myrtaceae,Magnoliidae,"NSW, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51233636
Melaleuca howeana,APC,https://id.biodiversity.org.au/node/apni/2908059,accepted,NA,https://id.biodiversity.org.au/node/apni/2908059,Melaleuca howeana,Cheel,Species,accepted,Myrtaceae,Magnoliidae,LHI,https://id.biodiversity.org.au/tree/51354547/51316624
