taxon_name,taxon_name_original,taxname_source,entity_type_tax,taxon_family,life_stage_generic,life_stage_taxon_specific,caste,sex,trait_name,entity_type,value_type,unit_numeric,value,replicates,measurement_remarks,method_number,observation_number,methods,site_name,site_latitude,site_longitude,site_date_of_visit,site_description,site_fire_impact,collection_date,associated_plant_taxa,plant_relation_description,associated_fauna_taxa,associated_fauna_taxa_synonyms,fauna_relation_description,taxname_issues_description,context,source_key,source_doi,source_citation,source_type,secondary_citation
Anoeconeossa miniatae,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,"NT, WA",NA,NA,NA,NA,NA,NA,Eucalyptus miniata,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1987). Revision of Eucalyptolyma Froggatt (Homoptera: Psylloidea) with two new genera of Australian psyllids. Journal of the Australian Entomological Society, 26, 97-127."
Glycaspis (Glycaspis) anota,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, form round lerps, sap-sucker",NA,NA,NA,"NT, QLD, WA",NA,NA,NA,NA,NA,NA,Eucalyptus miniata,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342."
Platyobria capitata,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,QLD,NA,NA,NA,NA,NA,NA,Eucalyptus miniata,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1987). Platyobria, a new aphalarid genus (Homoptera: Psylloidea) from Australia. Journal of the Australian Entomological Society, 26, 253-264."
Anoeconeossa miniatae,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus miniata,host plant species,NA,NA,NA,NA,NA,Taylor_1987a,doi: 10.1111/j.1440-6055.1987.tb00270.x,"Taylor, K. L. (1987). Revision of Eucalyptolyma Froggatt (Homoptera: Psylloidea) with two new genera of Australian psyllids. Australian Journal of Entomology, 26(2), 97–127. doi: 10.1111/j.1440-6055.1987.tb00270.x",article,NA
Blastopsylla occidentalis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva free-living, sap-sucker",NA,NA,NA,WA,NA,NA,NA,NA,NA,NA,"Eucalyptus microtheca, Eucalyptus rudis, Eucalyptus gomphocephala, Eucalyptus camaldulensis",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1985). Australian psyllids: a new genus of Ctenarytainini (Homoptera: Psylloidea) on Eucalyptus, with nine new species. Journal of the Australian Entomological Society, 24, 17-30; Burckhardt, D., Santana, D. L. Q., Terra, A. L., de Andrade, F. M., Penteado, S. R. C., Iede, E. T. & Morey, C. S. (1999). Psyllid pests (Hemiptera, Psylloidea) in South American eucalypt plantations. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, 72, 1-10; Burckhardt, D. & Elgueta, M. (2000). Blastopsylla occidentalis Taylor (Hemiptera: Psyllidae), a new introduced eucalypt pest in Chile. Revista Chilena de Entomología, 26, 57-61; Beardsley, J. W. & Uchida, G. K. (2002). Blastopsylla occidentalis Taylor (Homoptera: Psyllidae), a new pest of Eucalyptus in Hawaii. Proceedings of the Hawaiian Entomological Society, 35, 155."
Anoeconeossa unicornuta,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus microtheca, Eucalyptus melliodora, Eucalyptus fasciculosa, Eucalyptus leucoxylon, Eucalyptus diversifolia, Eucalyptus? cladocalyx",host plant species,NA,NA,NA,NA,NA,Taylor_1987a,doi: 10.1111/j.1440-6055.1987.tb00270.x,"Taylor, K. L. (1987). Revision of Eucalyptolyma Froggatt (Homoptera: Psylloidea) with two new genera of Australian psyllids. Australian Journal of Entomology, 26(2), 97–127. doi: 10.1111/j.1440-6055.1987.tb00270.x",article,NA
Anoeconeossa unicornuta,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larvae live under deserted lerps of other psyllid species, sap-sucker",NA,NA,NA,ACT,NA,NA,NA,NA,NA,NA,"Eucalyptus microtheca, Eucalyptus melliodora",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1987). Revision of Eucalyptolyma Froggatt (Homoptera: Psylloidea) with two new genera of Australian psyllids. Journal of the Australian Entomological Society, 26, 97-127; Carver, M. (1987). Distinctive motory behaviour in some adult psyllids (Homoptera: Psylloidea). Journal of the Australian Entomological Society, 26, 369-372; Maryanska-Nadachowska, A., Taylor, G. S. & Kuznetsova, V. A. (2001). Meiotic karyotypes and structure of testes in males of 17 species of Psyllidae: Spondyliaspidinae (Hemiptera: Psylloidea) from Australia. Australian Journal of Entomology, 40, 349-356."
Glycaspis (Glycaspis) anomala,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, form round lerps, sap-sucker",NA,NA,NA,"NSW, NT",NA,NA,NA,NA,NA,NA,Eucalyptus microtheca,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342."
Glycaspis (Glycaspis) buxalis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, ?round lerps, sap-sucker",NA,NA,NA,"NT, QLD, WA",NA,NA,NA,NA,NA,NA,Eucalyptus microtheca,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342."
Glycaspis (Glycaspis) froggatti,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,"NT, QLD, WA",NA,NA,NA,NA,NA,NA,Eucalyptus microtheca,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1978). Further information on Glycaspis species (Homoptera: Psyllidae) associated with Eucalyptus camaldulensis, and on other Glycaspis species. Journal of the Australian Entomological Society, 17, 257-260; Moore, K. M. (1983). New species and records of Glycaspis Taylor (Homoptera: Spondyliaspidae) with phyletic groupings. Journal of the Australian Entomological Society, 22, 177-184."
Glycaspis (Glycaspis) retrusa,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, ?round lerps, sap-sucker",NA,NA,NA,"NSW, QLD",NA,NA,NA,NA,NA,NA,Eucalyptus microtheca,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1970). Observations on some Australian forest insects. 32. Further notes on Glycaspis spp. (Hemiptera: Psyllidae). Journal of the Australian Entomological Society, 7, 48-49."
Blastopsylla bivittata,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,NSW,NA,NA,NA,NA,NA,NA,"Eucalyptus microcorys, Eucalyptus globoidea",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1985). Australian psyllids: a new genus of Ctenarytainini (Homoptera: Psylloidea) on Eucalyptus, with nine new species. Journal of the Australian Entomological Society, 24, 17-30."
Blastopsylla bivittata,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,QLD,NA,NA,NA,NA,NA,NA,Eucalyptus microcorys,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1985). Australian psyllids: a new genus of Ctenarytainini (Homoptera: Psylloidea) on Eucalyptus, with nine new species. Journal of the Australian Entomological Society, 24, 17-30."
Schedotrioza distorta,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,SA: Adelaide,NA,NA,NA,NA,NA,NA,Eucalyptus microcarpa,host plant species,NA,NA,NA,NA,data taken from supplementary material,Percy_2006,doi: 10.1071/IS05057,"Percy, D. M., Taylor, G. S., & Kennedy, M. (2006). Psyllid communication: acoustic diversity, mate recognition and phylogenetic signal. Invertebrate Systematics, 20(4), 431–445. doi: 10.1071/IS05057",article,NA
Schedotrioza apicobystra,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,NA,NA,NA,NA,"Lah-Arum, VIC",NA,NA,17/11/1966,NA,NA,NA,Eucalyptus microcarpa,host plant species,NA,NA,NA,NA,NA,Taylor_1990,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900724",article,NA
Schedotrioza distorta,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,NA,NA,NA,NA,"Mitcham, Adelaide, SA",NA,NA,19/10/1981,NA,NA,NA,Eucalyptus microcarpa,host plant species,NA,NA,NA,NA,NA,Taylor_1990,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900724",article,NA
Schedotrioza distorta,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,NA,NA,NA,NA,"Waite Institute, SA",NA,NA,1959-11,NA,NA,NA,Eucalyptus microcarpa,host plant species,NA,NA,NA,NA,NA,Taylor_1990,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900724",article,NA
Schedotrioza distorta,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,NA,NA,NA,NA,"Warradale, Adelaide, SA",NA,NA,1982-10,NA,NA,NA,Eucalyptus microcarpa,host plant species,NA,NA,NA,NA,NA,Taylor_1990,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900724",article,NA
Lasiopsylla rotundipennis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, sap-sucker",NA,NA,NA,"NSW, VIC",NA,NA,NA,NA,NA,NA,"Eucalyptus melliodora, Eucalyptus polyanthemos",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Froggatt, W. W. (1900). Australian Psyllidae. Proceedings of the Linnean Society of New South Wales, 25, 250-302; Gilby, A. R., McKellar, J. W. & Beaton, C. D. (1976). The structure of lerps: carbohydrate, lipid, and protein components. Journal of Insect Physiology, 22, 689-696; Morgan, F. D. (1984). Psylloidea of South Australia. Adelaide, South Australia: Government Printer 136 pp; Carver, M. (1987). Distinctive motory behaviour in some adult psyllids (Homoptera: Psylloidea). Journal of the Australian Entomological Society, 26, 369-372."
Cardiaspina retator,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,Psylloids were collected from one sample of foliage per mistletoe plant or eucalypt tree.,NA,NA,"Insects were collected using a restricted canopy fogging technique (after Basset 1990), from plants of A. miquelii (n = 30) and three of its host tree species: E. polyanthemos (red box, n = 12), Eucalyptus melliodora (yellow box, n = 4) and Eucalyptus blakelyi (Blakely’s red gum, n = 3) using a trailer-mounted hydraulic bucket hoist (maximum height: 12 m above ground).",south-west slopes region of NSW (near Holbrook),-35.733333,147.316667,2005-12,"Woodland and forest have been extensively cleared for agriculture and remaining habitat is restricted to a series of disjunct remnants. At five sites of remnant grassy box woodland, 4–18 hectares in size and located 2–23 km apart (i.e. sites 1–5 in Burns et al. 2011). These sites were surrounded by grazed pastures or crops on privately owned land. The remnant woodlands were dominated by Eucalyptus polyanthemos (red box), which is the primary host of A. miquelii in the region. At least 40 individual A. miquelii occurred at each site.",NA,NA,"Eucalyptus melliodora, Amyema miquelii","host plant species; No particular host plant species preference for the psylloid species, as demonstrated by no significance (p>0.05) in indicated host of the psylloid species, based on the abundance (density of individuals per square-metre leaf area) and frequency of the species in the mistletoe and eucalypt samples.",NA,NA,NA,NA,NA,Burns_2015,doi: 10.1111/aen.12123,"Burns, A. E., Taylor, G. S., Watson, D. M., & Cunningham, S. A. (2015). Diversity and host specificity of Psylloidea (Hemiptera) inhabiting box mistletoe, Amyema miquelii (Loranthaceae) and three of its host Eucalyptus species. Austral Entomology, 54(3), 306–314. doi: 10.1111/aen.12123",article,NA
NA,Acizzia sp. 1,NA,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,Psylloids were collected from one sample of foliage per mistletoe plant or eucalypt tree.,NA,NA,"Insects were collected using a restricted canopy fogging technique (after Basset 1990), from plants of A. miquelii (n = 30) and three of its host tree species: E. polyanthemos (red box, n = 12), Eucalyptus melliodora (yellow box, n = 4) and Eucalyptus blakelyi (Blakely’s red gum, n = 3) using a trailer-mounted hydraulic bucket hoist (maximum height: 12 m above ground).",south-west slopes region of NSW (near Holbrook),-35.733333,147.316667,2005-12,"Woodland and forest have been extensively cleared for agriculture and remaining habitat is restricted to a series of disjunct remnants. At five sites of remnant grassy box woodland, 4–18 hectares in size and located 2–23 km apart (i.e. sites 1–5 in Burns et al. 2011). These sites were surrounded by grazed pastures or crops on privately owned land. The remnant woodlands were dominated by Eucalyptus polyanthemos (red box), which is the primary host of A. miquelii in the region. At least 40 individual A. miquelii occurred at each site.",NA,NA,Eucalyptus melliodora,"host plant species; Amyema miquelii on Eucalyptus melliodora was sampled as well, but did not yield any specimen belonging to this psylloid taxa.",NA,NA,NA,"taxon_name_original is an undescribed taxa, specimens deposited at the Australian National Insect Collection (Canberra), no collection number provided.",NA,Burns_2015,doi: 10.1111/aen.12123,"Burns, A. E., Taylor, G. S., Watson, D. M., & Cunningham, S. A. (2015). Diversity and host specificity of Psylloidea (Hemiptera) inhabiting box mistletoe, Amyema miquelii (Loranthaceae) and three of its host Eucalyptus species. Austral Entomology, 54(3), 306–314. doi: 10.1111/aen.12123",article,NA
Cardiaspina tenuitela,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, sap-sucker",NA,NA,NA,ACT,NA,NA,NA,NA,NA,NA,Eucalyptus melliodora,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1962). The Australian genera Cardiaspina Crawford and Hyalinaspis Taylor (Homoptera: Psyllidae). Australian Journal of Zoology, 10, 307-348."
Glycaspis (Glycaspis) neureta,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round to oval lerps, sap-sucker",NA,NA,NA,"ACT, NSW, VIC",NA,NA,NA,NA,NA,NA,Eucalyptus melliodora,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Carver, M. (1987). Distinctive motory behaviour in some adult psyllids (Homoptera: Psylloidea). Journal of the Australian Entomological Society, 26, 369-372; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Phyllolyma mituliformis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, sap-sucker",NA,NA,NA,ACT,NA,NA,NA,NA,NA,NA,Eucalyptus melliodora,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1990). The Tribe Ctenarytainini (Hemiptera: Psylloidea): a key to known Australian genera, with new species and two new genera. Invertebrate Taxonomy, 4, 95-121."
Phyllolyma rufa,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, sap-sucker",NA,NA,NA,ACT,NA,NA,NA,NA,NA,NA,Eucalyptus melliodora,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Froggatt, W. W. (1900). Australian Psyllidae. Proceedings of the Linnean Society of New South Wales, 25, 250-302; Morgan, F. D. (1984). Psylloidea of South Australia. Adelaide, South Australia: Government Printer 136 pp; Taylor, K. L. (1990). The Tribe Ctenarytainini (Hemiptera: Psylloidea): a key to known Australian genera, with new species and two new genera. Invertebrate Taxonomy, 4, 95-121; Taylor, G. S. (1992). The structure of the eggs of some Australian Psylloidea (Hemiptera). Journal of the Australian Entomological Society, 31, 109-117."
Glycaspis (Glycaspis) collina,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, forms round lerps, sap-sucker",NA,NA,NA,QLD,NA,NA,NA,NA,NA,NA,"Eucalyptus melanophloia, Eucalyptus populnea",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24; Moore, K. M. (1989). A new species of Glycaspis Homoptera: Psyllidae) and additional information on host associations. Journal of the Australian Entomological Society, 28, 81-86."
Anoeconeossa vespertina,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus marginata, Eucalyptus diversicolor, Eucalyptus macrandra, Eucalyptus gomphocephala, Eucalyptus cornuta, Eucalyptus jacksonii",host plant species,NA,NA,NA,NA,NA,Taylor_1987a,doi: 10.1111/j.1440-6055.1987.tb00270.x,"Taylor, K. L. (1987). Revision of Eucalyptolyma Froggatt (Homoptera: Psylloidea) with two new genera of Australian psyllids. Australian Journal of Entomology, 26(2), 97–127. doi: 10.1111/j.1440-6055.1987.tb00270.x",article,NA
Blepharocosta marginaticola,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,WA,NA,NA,NA,NA,NA,NA,Eucalyptus marginata,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1992). Blepharocosta, a new genus of Australian Spondyliaspidinae (Hemiptera: Psylloidea). Invertebrate Taxonomy, 6, 131-141."
Cryptoneossa occidentalis,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,WA,NA,NA,NA,NA,NA,NA,Eucalyptus marginata,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, K. L. (1990). The Tribe Ctenarytainini (Hemiptera: Psylloidea): a key to known Australian genera, with new species and two new genera. Invertebrate Taxonomy, 4, 95-121."
Glycaspis (Synglycaspis) icterica,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva lerp-former, form round lerps, sap-sucker",NA,NA,NA,WA,NA,NA,NA,NA,NA,NA,Eucalyptus marginata,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342; Moore, K. M. (1988). Associations of some Glycaspis species (Homoptera: Spondyliaspididae) with their Eucalyptus species hosts. Proceedings of the Linnean Society of New South Wales, 110, 19-24."
Glycaspis (Glycaspis) amydra,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; no data on larval habits given,NA,NA,NA,ACT,NA,NA,NA,NA,NA,NA,"Eucalyptus mannifera maculosa, Eucalyptus melliodora",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Moore, K. M. (1970). Observations on some Australian forest insects. 23. A revision of the genus Glycaspis (Homoptera: Psyllidae) with descriptions of seventy-three new species. The Australian Zoologist, 15, 248-342."
Ctenarytaina spatulata,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,NA,NA,NA,NA,ACT,NA,NA,NA,NA,NA,NA,Eucalyptus mannifera maculosa,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Taylor, G. S. (1997). Effect of plant compounds on the population dynamics of the Lerp insect, Cardiaspina albitextura Taylor (Psylloidea: Spondyliaspididae) on eucalypts. pp. 37-57 in Raman, A. (ed.). Ecology and Evolution of Plant-Feeding Insects in Natural and Man-Made Environments. New Delhi & Leiden : International Scientific Publications & Backhuys Publishers; Burckhardt, D., Santana, D. L. Q., Terra, A. L., de Andrade, F. M., Penteado, S. R. C., Iede, E. T. & Morey, C. S. (1999). Psyllid pests (Hemiptera, Psylloidea) in South American eucalypt plantations. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, 72, 1-10; Brennan, E. B. & Weinbaum, S. A. (2001). Effect of epicuticular wax on adhesion of psyllids to glaucous juvenile and glossy adult leaves of Eucalyptus globulus Labillardiere. Australian Journal of Entomology, 40, 270-277; Brennan, E. B. & Weinbaum, S. A. (2001). Performance of adult psyllids in no-choice experiments on juvenile and adult leaves of Eucalyptus globulus. Entomologia Experimentalis et Applicata, 100, 179-185; Brennan, E. B. & Weinbaum, S. A. (2001). Stylet penetration and survival of three psyllid species on adult leaves and 'waxy' and 'de-waxed' juvenile leaves of Eucalyptus globulus. Entomologia Experimentalis et Applicata, 100, 355-363."
