taxon_name,taxon_name_original,taxname_source,entity_type_tax,taxon_family,life_stage_generic,life_stage_taxon_specific,caste,sex,trait_name,entity_type,value_type,unit_numeric,value,replicates,measurement_remarks,method_number,observation_number,methods,site_name,site_latitude,site_longitude,site_date_of_visit,site_description,site_fire_impact,collection_date,associated_plant_taxa,plant_relation_description,associated_fauna_taxa,associated_fauna_taxa_synonyms,fauna_relation_description,taxname_issues_description,context,source_key,source_doi,source_citation,source_type,secondary_citation
Leptospermonastes,NA,AFD,genus,Psyllidae,NA,NA,NA,NA,ecological_dependency,genus,NA,NA,specialist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptospermum,host plant genus,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,NA
Ceratina (Neoceratina) australensis,Ceratina australensis,AFD,species,Apidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,generalist,NA,collects pollen from a variety of plant species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lantana camara, Verbena bonariensis, Rubus, Stachys, Xanthorrhoea",nests in the stems of these plants,NA,NA,NA,"associated_plant_taxa name misspelled in source, Verbena bonariensis misspelled as Verbena bonarensis",NA,Michener_1962b,NA,"Michener, C. D. (1962). The genus Ceratina in Australia, with notes on its nests (Hymenoptera: Apoidea). Journal of the Kansas Entomological Society, 35(4), 414-421.",article,NA
Trioza barrettae,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,"Specimens were collected by beating or vacuuming 30 individuals of each plant species, at each site.","Mt Hassell, 558 m, Stirling Range NP, WA",NA,NA,2007-10-01/2007-10-30,NA,NA,NA,Kunzea montana,host plant species,NA,NA,NA,NA,NA,Taylor_2014,doi: 10.1163/1876312X-00002107,"Taylor, G. S., & Moir, M. L. (2014). Further evidence of the coextinction threat for jumping plant-lice: three new Acizzia (Psyllidae) and Trioza (Triozidae) from Western Australia. Insect Systematics & Evolution, 45(3), 283–302. doi: 10.1163/1876312X-00002107",article,NA
NA,Brinckitia sp.,NA,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,sap-sucker; larvae unknown,NA,NA,NA,"Redland Bay, QLD",NA,NA,NA,NA,NA,NA,Jacksonia scoparia,host plant species,NA,NA,NA,"Undescribed taxon_name_original specimens deposited at the Queensland Department of Primary Industries, no collection number provided.",NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,NA
NA,Cacopsylla sp.,NA,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva free-living, sap-sucker",NA,NA,NA,"Toowoomba, QLD",NA,NA,NA,NA,NA,NA,Hymenosporum flavum,host plant species,NA,NA,NA,"Undescribed taxon_name_original specimens deposited at the Australian National Insect Collection, no collection number provided.",NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,NA
Mesohomotoma hibisci,NA,AFD,species,Carsidaridae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva free-living, sap-sucker",NA,NA,NA,"NSW, QLD",NA,NA,NA,NA,NA,NA,Hibiscus tiliaceus,host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Enderlein, G. (1910). 12. Hemiptera, 8. Psyllidae. pp. 137-144. In: Sjostedt, Y. (ed.) Wissemchaftliche Ergebnisse der schwedischen zoologischen Expedition nach dem Kilimandjaro, dem Meru und den umgebenden Massaisteppen Deutsch-Ostafrikas, 1905-1906. Vol. 12 Stockholm; Crawford, D. L. (1920). The Psyllidae of Borneo. Philippies Journal of Science, 17, 353–363; Hollis, D. (1987). A review of the Malvales-feeding psyllid family Carsidaridae (Homoptera). Bulletin of the British Museum (Natural History), ENtomology, 56, 87–127."
Tyora ornata,NA,AFD,species,Carsidaridae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,"larva free-living, sap-sucker",NA,NA,NA,"Prince Frederick Harbour, WA; Extralimital, Palaearctic, Oriental Regions, Mariana and Caroline Islands, Fiji",NA,NA,NA,NA,NA,NA,"Heritiera littoralis, Heritiera sp.",host plant species,NA,NA,NA,NA,NA,Hollis_2004,NA,"Hollis, David. (2004). Australian Psylloidea?: jumping plant lice and lerp insects. Australian Biological Resources Study.",book,"Hollis, D. (1987) A review of the Malvales-feeding psyllid family Carsidaridae (Homoptera). Bulletin of the British Museum (Natural History), Entomology, 56, 87–127; Yang, C. K. & Li, F. S. (1985). Notes on Tenaphalara and Tyora with descriptions of five new species from China. Entomotaxonomia, 7, 205–217."
Schedotrioza multitudinea,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,specialist,NA,NA,NA,NA,NA,"Aldgate, SA",NA,NA,NA,NA,NA,NA,Hakea sp.,"host plant species; labelled ""bloom hakea""",NA,NA,NA,NA,NA,Taylor_1985,doi: 10.1111/j.1440-6055.1985.tb00249.x,"Taylor, G. S. (1985). The taxanomic status of Schedotrioza multitudinea (Maskell) (Psylloidea: Triozidae) with notes on its biology. Australian Journal of Entomology, 24, 305–312.",article,NA
Schedotrioza multitudinea,NA,AFD,species,Triozidae,NA,NA,NA,NA,ecological_dependency,NA,NA,NA,specialist,NA,NA,NA,NA,NA,"Aldgate, SA",NA,NA,1883-09-29,NA,NA,NA,Hakea sp.,host plant species; bloom Hakea,NA,NA,NA,NA,NA,Taylor_1990,doi: 10.1071/IT9900721,"Taylor, S. (1990). Revision of the genus Schedotrioza Tuthill & Taylor (Homoptera?: Psylloidea?: Triozidae). Invertebrate Systematics, 4(4), 721–751. doi: 10.1071/IT9900724",article,NA
Acizzia hughesae,NA,AFD,species,Psyllidae,NA,NA,NA,NA,ecological_dependency,species,NA,NA,highly_specialised,NA,NA,NA,NA,"Specimens were collected by beating or vacuuming 30 individuals of each plant species, at each site.","Stirling Range NP, WA",NA,NA,5/09/2007,NA,NA,NA,Grevillea sp. 'Stirling Range',host plant species,NA,NA,NA,"associated_plant_taxa is undescribed, specimen identification follows Weston & Barker (2006)",NA,Taylor_2014,doi: 10.1163/1876312X-00002107,"Taylor, G. S., & Moir, M. L. (2014). Further evidence of the coextinction threat for jumping plant-lice: three new Acizzia (Psyllidae) and Trioza (Triozidae) from Western Australia. Insect Systematics & Evolution, 45(3), 283–302. doi: 10.1163/1876312X-00002107",article,NA
